area,year,mean_temp_c
Reinickendorf,2020,31.22351853767549
Frohnau,2020,26.160903603902682
Reinickendorf,2020,27.377945481413974
Spandau,2020,28.078408911617316
Charlottenburg-Nord,2020,29.46642728442731
Mitte,2020,30.909455847919503
Mitte,2020,31.05707859106184
Hansaviertel,2020,30.942549923195145
Wedding,2020,30.667994818652915
Moabit,2020,31.101882352941175
Gesundbrunnen,2020,31.44795127795527
Deutschland,2020,26.129109882997284
Steglitz-Zehlendorf,2020,26.71104813579433
Steglitz,2020,29.74180192139562
Lankwitz,2020,30.30753869856244
Lichterfelde,2020,29.53176454884158
Dahlem,2020,27.724343520898856
Wilmersdorf,2020,30.88642191142202
Halensee,2020,29.73142990654202
Grunewald,2020,25.056600914195087
Wittenau,2020,30.141715695321068
Märkisches Viertel,2020,30.091690806745987
Hermsdorf,2020,26.696303435614993
Tegel,2020,26.124838077464517
Heiligensee,2020,25.60972085053561
Tiergarten,2020,30.12071670515786
Schöneberg,2020,31.462840575846485
Friedenau,2020,30.559491691104654
Marienfelde,2020,30.99520577611571
Treptow-Köpenick,2020,26.625665029004722
Adlershof,2020,30.907720388349503
Rudow,2020,30.60808357870195
Johannisthal,2020,29.92692880036634
Niederschöneweide,2020,29.928128425998466
Baumschulenweg,2020,29.651645021645095
Plänterwald,2020,28.972866021101368
Alt-Treptow,2020,30.13366750755233
Friedrichshain,2020,31.515474504662052
Friedrichshain-Kreuzberg,2020,31.39012132993463
Kreuzberg,2020,31.26959230623777
Großbeeren,2020,29.195145099177523
Blankenfelde-Mahlow,2020,28.48317886140211
Schönefeld,2020,30.638900449445373
Eichwalde,2020,26.562979233434987
Schulzendorf,2020,28.876797702473425
Zeuthen,2020,27.35329029842154
Königs Wusterhausen,2020,26.309897022678967
Gosen-Neu Zittau,2020,24.913582455989513
Spreenhagen,2020,25.507755591880084
Erkner,2020,25.269447784878935
Konradshöhe,2020,25.014802897685854
Potsdam-Mittelmark,2020,26.75272450831727
Teltow-Fläming,2020,28.168167559939377
Potsdam,2020,26.662796480064742
Dahme-Spreewald,2020,27.32038134545479
Havelland,2020,27.339791561472566
Berlin,2020,28.66621805853333
Oberhavel,2020,26.08249077577028
Brandenburg,2020,27.026087398742504
Barnim,2020,25.59090613806717
Oder-Spree,2020,26.080537134604526
Waidmannslust,2020,28.00900323275863
Charlottenburg,2020,31.248461306153217
Grünau,2020,26.432086744219532
Waltersdorf,2020,30.84589362413658
Schmöckwitz,2020,24.006160302220678
Gosen,2020,24.096717428088084
Wernsdorf,2020,24.49897488982532
Lichtenrade,2020,30.397982634531957
Tempelhof-Schöneberg,2020,31.326132061404962
Buckow,2020,30.657608503658878
Tempelhof,2020,32.06902476123105
Mariendorf,2020,31.647842660936192
Britz,2020,30.425889261843338
Neukölln,2020,30.88366870466075
Altglienicke,2020,30.47251019367991
Marzahn-Hellersdorf,2020,29.996730253679857
Mahlsdorf,2020,29.44073715902084
Pankow,2020,30.20722068642192
Zehlendorf,2020,27.367203486356686
Schmargendorf,2020,28.101008920985635
Westend,2020,28.404496100197434
Wilhelmstadt,2020,28.641212846991948
Waßmannsdorf,2020,30.73766403725631
Märkisch-Oderland,2020,27.976135246790818
Charlottenburg-Wilmersdorf,2020,28.101667935092507
Lichtenberg,2020,30.998598205140013
Französisch Buchholz,2020,30.893129271309988
Stadtrandsiedlung Malchow,2020,30.59096766406202
Marzahn,2020,31.014343637918216
Hellersdorf,2020,29.964627880215176
Kaulsdorf,2020,29.423940681839042
Karow,2020,30.268532928563673
Wilhelmsruh,2020,31.283475967490233
Rosenthal,2020,30.05558603527993
Niederschönhausen,2020,30.3013692666176
Pankow,2020,30.90176639328496
Prenzlauer Berg,2020,31.921976803317193
Haselhorst,2020,29.304397011739525
Fennpfuhl,2020,31.610673246753322
Malchow,2020,30.544509988419236
Blankenfelde,2020,28.52751670481797
Buch,2020,28.692468432692124
Blankenburg,2020,29.97784367124143
Weißensee,2020,31.692427545206897
Spandau,2020,29.984323034149895
Hakenfelde,2020,26.621348867355152
Heinersdorf,2020,31.365643798230792
Alt-Hohenschönhausen,2020,31.287228929622415
Rummelsburg,2020,30.55814387726366
Wartenberg,2020,30.260030166860645
Lichtenberg,2020,32.33203138100379
Karlshorst,2020,30.07779136458305
Biesdorf,2020,29.3963769727319
Köpenick,2020,26.460658552239465
Friedrichshagen,2020,25.921481481481578
Rahnsdorf,2020,24.30141077365596
Falkenhagener Feld,2020,29.529549165553362
Neukölln,2020,32.00863869751129
Gropiusstadt,2020,29.84386866848655
Kladow,2020,25.92116727882427
Gatow,2020,27.68805980728689
Wannsee,2020,23.96496801346808
Nikolassee,2020,24.14818207783071
Lübars,2020,28.81728288633468
Müggelheim,2020,24.164769291536516
Bohnsdorf,2020,30.509894976252497
Staaken,2020,29.663009452627023
Siemensstadt,2020,30.046659616469242
Falkenberg,2020,31.14787712808851
Friedrichsfelde,2020,30.786529315293194
Neu-Hohenschönhausen,2020,31.160120623712942
Oberschöneweide,2020,29.26731405364393
Stahnsdorf,2020,28.85095061287683
Kleinmachnow,2020,26.33253516387373
Teltow,2020,29.65709276307382
Stahnsdorf,2020,27.389223883641364
Seeburg,2020,29.000463061891253
Dallgow-Döberitz,2020,27.609019382076156
Falkensee,2020,28.041223854285022
Schönwalde-Glien,2020,27.460568230550052
Hennigsdorf,2020,26.560893794275557
Hohen Neuendorf,2020,26.80003041778616
Mühlenbecker Land,2020,26.640521591510492
Glienicke/Nordbahn,2020,26.92584825234445
Panketal,2020,29.985553009309967
Ahrensfelde,2020,29.418811295220337
Hoppegarten,2020,29.447415604496257
Neuenhagen bei Berlin,2020,29.866172971634114
Wandlitz,2020,25.60969728789007
Woltersdorf,2020,25.463723469032686
Schöneiche bei Berlin,2020,28.608727969896222
Lindenberg,2020,30.619646031877664
Eiche,2020,29.663363900815227
Hönow,2020,29.801055014397946
Großziethen,2020,29.90135557421189
Schönefeld,2020,32.21929346715126
Borsigwalde,2020,30.233570876786416
Heinersdorf,2020,29.641350698867484
