area,mean_temp_c
Adlershof,30.635930789055635
Ahrensfelde,29.029981599258697
Alt-Hohenschönhausen,30.53408762156356
Alt-Treptow,29.387468607970778
Altglienicke,29.97956873505701
Babelsberg Nord,26.948654414383633
Babelsberg Süd,28.709266643266677
Barnim,25.169433271678475
Baumschulenweg,30.09662215708686
Bergfelde,25.64316422487792
Berlin,28.021786503380532
Berliner Vorstadt,25.980447933884363
Biesdorf,29.38598805738436
Blankenburg,29.497325043895852
Blankenfelde,27.342109185015637
Blankenfelde-Mahlow,27.80940306352276
Bohnsdorf,29.70179820946772
Borsigwalde,29.72446223533128
Brandenburg,26.35512822721777
Britz,29.959870690668616
Buch,26.912880786943468
Buckow,30.368774636600666
Charlottenburg,30.854388672683818
Charlottenburg-Nord,29.240855582075653
Charlottenburg-Wilmersdorf,27.65209189696633
Dahlem,26.68902732552609
Dahlwitz-Hoppegarten,28.963929745942345
Dahme-Spreewald,26.488831019625856
Dallgow-Döberitz,26.64262628130738
Deutschland,25.642059126410025
Eiche,29.077311993653232
Eichwalde,26.490905807863715
Erkner,25.424260906047515
Falkenberg,29.73955766586056
Falkenhagener Feld,28.949616845855324
Falkensee,27.312232109873275
Fennpfuhl,30.604960630303072
Fichtenau,24.253463487332386
Französisch Buchholz,29.416088660685283
Friedenau,30.219414245090242
Friedrichsfelde,30.24832662666024
Friedrichshagen,25.282863083803363
Friedrichshain,30.584260514277457
Friedrichshain-Kreuzberg,30.47279910033418
Frohnau,25.605499417178475
Gatow,25.842515171664456
Gesundbrunnen,30.98316607125572
Glienicke/Nordbahn,26.65730764938386
Gosen,23.76541435932942
Gosen-Neu Zittau,24.817502959541866
Gropiusstadt,30.005708693853943
Groß Glienicke,24.98453217420871
Großbeeren,28.415032551075285
Großziethen,29.14634968240015
Grunewald,24.43408871268208
Grätzwalde,26.79150693221336
Grünau,26.266860079467826
Hakenfelde,25.918242053777465
Halensee,30.073836896063472
Hansaviertel,30.531693366848266
Haselhorst,29.328242844668658
Havelland,26.57504174361666
Heiligensee,25.345176731698167
Heinersdorf,29.55479768640935
Hellersdorf,29.320646889858335
Hennigsdorf,25.925831146342
Hermsdorf,26.154189142407517
Hessenwinkel,24.524322916666723
Hohen Neuendorf,26.300189569076508
Hohenberge,25.661622549019647
Hoppegarten,28.840944285591227
Hönow,28.968355758332155
Johannisthal,30.14362325382958
Karlshorst,29.668218756473266
Karow,29.24287912044641
Kaulsdorf,29.16666324667019
Kladow,24.829677194794034
Klein Glienicke,23.312625641025658
Kleinmachnow,25.52511187465209
Kleinschönebeck,28.543074337783445
Konradshöhe,24.630843379086308
Kreuzberg,30.365584349153643
Königs Wusterhausen,26.011489921913302
Köpenick,26.045349940610834
Lankwitz,29.887199700196824
Lichtenberg,30.55903175322091
Lichtenrade,29.81163112370739
Lichterfelde,28.88561192198123
Lichterfelde Ost,29.281065241605255
Lichterfelde Süd,28.658240400679016
Lichterfelde West,28.844896793011195
Lindenberg,29.195760046683848
Lübars,27.938902440109995
Mahlow,28.901295282602952
Mahlsdorf,29.200453859855507
Malchow,29.08244277166575
Mariendorf,30.80954343019092
Marienfelde,30.28315943773182
Marzahn,30.139089451495614
Marzahn-Hellersdorf,29.546093326909592
Mitte,30.361061853852743
Moabit,30.764825840447884
Märkisch-Oderland,27.29386913070008
Märkisches Viertel,29.547681391002595
Müggelheim,23.798230331103774
Mühlenbeck,26.391701574967716
Mühlenbecker Land,25.788892855980997
Neu-Hohenschönhausen,29.827992182574793
Neu-Zittau,24.96697136257153
Neuenhagen bei Berlin,29.12074888373803
Neukölln,30.675077174495776
Niederschöneweide,29.90273279229258
Niederschönhausen,29.75752094677465
